<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
MOEX,60,20210104,110000,160.6000000
MOEX,60,20210104,120000,161.1200000
MOEX,60,20210104,130000,161.1700000
MOEX,60,20210104,140000,160.9900000
MOEX,60,20210104,150000,160.9400000
MOEX,60,20210104,160000,161.2200000
MOEX,60,20210104,170000,161.3300000
MOEX,60,20210104,180000,160.2000000
MOEX,60,20210104,190000,159.0200000
MOEX,60,20210104,200000,159.2800000
MOEX,60,20210104,210000,159.0000000
MOEX,60,20210104,220000,159.3700000
MOEX,60,20210104,230000,159.2000000
MOEX,60,20210105,000000,159.0000000
MOEX,60,20210105,110000,158.9700000
MOEX,60,20210105,120000,159.9600000
MOEX,60,20210105,130000,160.2000000
MOEX,60,20210105,140000,160.2800000
MOEX,60,20210105,150000,160.4900000
MOEX,60,20210105,160000,160.3200000
MOEX,60,20210105,170000,160.7200000
MOEX,60,20210105,180000,161.0400000
MOEX,60,20210105,190000,161.5800000
MOEX,60,20210105,200000,161.0800000
MOEX,60,20210105,210000,161.4500000
MOEX,60,20210105,220000,161.4300000
MOEX,60,20210105,230000,161.2900000
MOEX,60,20210106,000000,161.3700000
MOEX,60,20210106,110000,161.4000000
MOEX,60,20210106,120000,161.4800000
MOEX,60,20210106,130000,162.7100000
MOEX,60,20210106,140000,162.0600000
MOEX,60,20210106,150000,162.1400000
MOEX,60,20210106,160000,160.9300000
MOEX,60,20210106,170000,160.4700000
MOEX,60,20210106,180000,159.9000000
MOEX,60,20210106,190000,159.5800000
MOEX,60,20210106,200000,160.1400000
MOEX,60,20210106,210000,160.3400000
MOEX,60,20210106,220000,160.6700000
MOEX,60,20210106,230000,160.1400000
MOEX,60,20210107,000000,160.9100000
MOEX,60,20210108,110000,161.7400000
MOEX,60,20210108,120000,160.6900000
MOEX,60,20210108,130000,160.2800000
MOEX,60,20210108,140000,160.3100000
MOEX,60,20210108,150000,160.1400000
MOEX,60,20210108,160000,160.1200000
MOEX,60,20210108,170000,160.3700000
MOEX,60,20210108,180000,160.1400000
MOEX,60,20210108,190000,159.3500000
MOEX,60,20210108,200000,160.3000000
MOEX,60,20210108,210000,160.2100000
MOEX,60,20210108,220000,160.1500000
MOEX,60,20210108,230000,160.1900000
MOEX,60,20210109,000000,160.3300000
MOEX,60,20210111,110000,159.9300000
MOEX,60,20210111,120000,159.9500000
MOEX,60,20210111,130000,159.8000000
MOEX,60,20210111,140000,159.8800000
MOEX,60,20210111,150000,159.2600000
MOEX,60,20210111,160000,159.3800000
MOEX,60,20210111,170000,158.8000000
MOEX,60,20210111,180000,159.4800000
MOEX,60,20210111,190000,159.6500000
MOEX,60,20210111,200000,159.5100000
MOEX,60,20210111,210000,159.4400000
MOEX,60,20210111,220000,159.5800000
MOEX,60,20210111,230000,159.4900000
MOEX,60,20210112,000000,159.4900000
MOEX,60,20210112,110000,159.7100000
MOEX,60,20210112,120000,159.2000000
MOEX,60,20210112,130000,158.7000000
MOEX,60,20210112,140000,158.8800000
MOEX,60,20210112,150000,158.2900000
MOEX,60,20210112,160000,158.3500000
MOEX,60,20210112,170000,158.3300000
MOEX,60,20210112,180000,157.9500000
MOEX,60,20210112,190000,157.7000000
MOEX,60,20210112,200000,158.3300000
MOEX,60,20210112,210000,158.1500000
MOEX,60,20210112,220000,158.1500000
MOEX,60,20210112,230000,158.3000000
MOEX,60,20210113,000000,158.5000000
MOEX,60,20210113,110000,158.8400000
MOEX,60,20210113,120000,159.1600000
MOEX,60,20210113,130000,160.0200000
MOEX,60,20210113,140000,159.4500000
MOEX,60,20210113,150000,159.8200000
MOEX,60,20210113,160000,159.8900000
MOEX,60,20210113,170000,159.8200000
MOEX,60,20210113,180000,159.8000000
MOEX,60,20210113,190000,160.4900000
MOEX,60,20210113,200000,160.2200000
MOEX,60,20210113,210000,159.7800000
MOEX,60,20210113,220000,160.1600000
MOEX,60,20210113,230000,160.1400000
MOEX,60,20210114,000000,159.5000000
MOEX,60,20210114,110000,160.3600000
MOEX,60,20210114,120000,159.9900000
MOEX,60,20210114,130000,159.9500000
MOEX,60,20210114,140000,160.2200000
MOEX,60,20210114,150000,159.7600000
MOEX,60,20210114,160000,159.4500000
MOEX,60,20210114,170000,159.0100000
MOEX,60,20210114,180000,159.4500000
MOEX,60,20210114,190000,159.1100000
MOEX,60,20210114,200000,159.4600000
MOEX,60,20210114,210000,159.4100000
MOEX,60,20210114,220000,159.6600000
MOEX,60,20210114,230000,159.7700000
MOEX,60,20210115,000000,159.7600000
MOEX,60,20210115,110000,159.8500000
MOEX,60,20210115,120000,159.6500000
MOEX,60,20210115,130000,160.6900000
MOEX,60,20210115,140000,160.3700000
MOEX,60,20210115,150000,160.1100000
MOEX,60,20210115,160000,160.4400000
MOEX,60,20210115,170000,161.1000000
MOEX,60,20210115,180000,160.9900000
MOEX,60,20210115,190000,159.7500000
