<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
MOEX.SPBE:TQBR,60,20211119,110000,922.8000000
MOEX.SPBE:TQBR,60,20211119,120000,888.5000000
MOEX.SPBE:TQBR,60,20211119,130000,920.2000000
MOEX.SPBE:TQBR,60,20211119,140000,917.3000000
MOEX.SPBE:TQBR,60,20211119,150000,921.3000000
MOEX.SPBE:TQBR,60,20211119,160000,894.6000000
MOEX.SPBE:TQBR,60,20211119,170000,891.1000000
MOEX.SPBE:TQBR,60,20211119,180000,886.3000000
MOEX.SPBE:TQBR,60,20211119,190000,915.0000000
MOEX.SPBE:TQBR,60,20211119,200000,916.0000000
MOEX.SPBE:TQBR,60,20211119,210000,914.1000000
MOEX.SPBE:TQBR,60,20211119,220000,924.0000000
MOEX.SPBE:TQBR,60,20211119,230000,937.6000000
MOEX.SPBE:TQBR,60,20211120,000000,936.4000000
MOEX.SPBE:TQBR,60,20211122,110000,914.1000000
MOEX.SPBE:TQBR,60,20211122,120000,934.9000000
MOEX.SPBE:TQBR,60,20211122,130000,945.0000000
MOEX.SPBE:TQBR,60,20211122,140000,934.6000000
MOEX.SPBE:TQBR,60,20211122,150000,943.0000000
MOEX.SPBE:TQBR,60,20211122,160000,943.0000000
MOEX.SPBE:TQBR,60,20211122,170000,935.9000000
MOEX.SPBE:TQBR,60,20211122,180000,935.8000000
MOEX.SPBE:TQBR,60,20211122,190000,936.1000000
MOEX.SPBE:TQBR,60,20211122,200000,946.3000000
MOEX.SPBE:TQBR,60,20211122,210000,948.0000000
MOEX.SPBE:TQBR,60,20211122,220000,951.1000000
MOEX.SPBE:TQBR,60,20211122,230000,966.0000000
MOEX.SPBE:TQBR,60,20211123,000000,969.4000000
MOEX.SPBE:TQBR,60,20211123,110000,954.5000000
MOEX.SPBE:TQBR,60,20211123,120000,951.8000000
MOEX.SPBE:TQBR,60,20211123,130000,957.0000000
MOEX.SPBE:TQBR,60,20211123,140000,958.7000000
MOEX.SPBE:TQBR,60,20211123,150000,957.6000000
MOEX.SPBE:TQBR,60,20211123,160000,955.9000000
MOEX.SPBE:TQBR,60,20211123,170000,955.0000000
MOEX.SPBE:TQBR,60,20211123,180000,956.8000000
MOEX.SPBE:TQBR,60,20211123,190000,959.9000000
MOEX.SPBE:TQBR,60,20211123,200000,950.0000000
MOEX.SPBE:TQBR,60,20211123,210000,950.7000000
MOEX.SPBE:TQBR,60,20211123,220000,951.5000000
MOEX.SPBE:TQBR,60,20211123,230000,950.0000000
MOEX.SPBE:TQBR,60,20211124,000000,958.0000000
MOEX.SPBE:TQBR,60,20211124,110000,954.6000000
MOEX.SPBE:TQBR,60,20211124,120000,969.1000000
MOEX.SPBE:TQBR,60,20211124,130000,970.0000000
MOEX.SPBE:TQBR,60,20211124,140000,979.8000000
MOEX.SPBE:TQBR,60,20211124,150000,982.8000000
MOEX.SPBE:TQBR,60,20211124,160000,980.0000000
MOEX.SPBE:TQBR,60,20211124,170000,982.9000000
MOEX.SPBE:TQBR,60,20211124,180000,987.9000000
MOEX.SPBE:TQBR,60,20211124,190000,990.0000000
MOEX.SPBE:TQBR,60,20211124,200000,995.2000000
MOEX.SPBE:TQBR,60,20211124,210000,995.0000000
MOEX.SPBE:TQBR,60,20211124,220000,1000.0000000
MOEX.SPBE:TQBR,60,20211124,230000,1004.7000000
MOEX.SPBE:TQBR,60,20211125,000000,1007.8000000
MOEX.SPBE:TQBR,60,20211125,110000,999.8000000
MOEX.SPBE:TQBR,60,20211125,120000,998.9000000
MOEX.SPBE:TQBR,60,20211125,130000,995.0000000
MOEX.SPBE:TQBR,60,20211125,140000,996.6000000
MOEX.SPBE:TQBR,60,20211125,150000,999.9000000
MOEX.SPBE:TQBR,60,20211125,160000,999.2000000
MOEX.SPBE:TQBR,60,20211125,170000,1004.0000000
MOEX.SPBE:TQBR,60,20211125,180000,1008.0000000
MOEX.SPBE:TQBR,60,20211125,190000,1012.0000000
MOEX.SPBE:TQBR,60,20211125,200000,1022.7000000
MOEX.SPBE:TQBR,60,20211125,210000,1027.8000000
MOEX.SPBE:TQBR,60,20211125,220000,1036.9000000
MOEX.SPBE:TQBR,60,20211125,230000,1044.5000000
MOEX.SPBE:TQBR,60,20211126,000000,1040.5000000
MOEX.SPBE:TQBR,60,20211126,110000,1057.9000000
MOEX.SPBE:TQBR,60,20211126,120000,1032.0000000
MOEX.SPBE:TQBR,60,20211126,130000,1016.6000000
MOEX.SPBE:TQBR,60,20211126,140000,1009.9000000
MOEX.SPBE:TQBR,60,20211126,150000,1019.9000000
MOEX.SPBE:TQBR,60,20211126,160000,1023.6000000
MOEX.SPBE:TQBR,60,20211126,170000,1025.5000000
MOEX.SPBE:TQBR,60,20211126,180000,1023.9000000
MOEX.SPBE:TQBR,60,20211126,190000,1030.0000000
MOEX.SPBE:TQBR,60,20211126,200000,1031.5000000
MOEX.SPBE:TQBR,60,20211126,210000,1034.5000000
MOEX.SPBE:TQBR,60,20211126,220000,1036.4000000
MOEX.SPBE:TQBR,60,20211126,230000,1036.5000000
MOEX.SPBE:TQBR,60,20211127,000000,1036.0000000
MOEX.SPBE:TQBR,60,20211129,110000,1022.4000000
MOEX.SPBE:TQBR,60,20211129,120000,1021.5000000
MOEX.SPBE:TQBR,60,20211129,130000,1010.8000000
MOEX.SPBE:TQBR,60,20211129,140000,1007.3000000
MOEX.SPBE:TQBR,60,20211129,150000,1011.1000000
