<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
SNGS,60,20210104,110000,36.3450000
SNGS,60,20210104,120000,36.3300000
SNGS,60,20210104,130000,36.3550000
SNGS,60,20210104,140000,36.3200000
SNGS,60,20210104,150000,36.2600000
SNGS,60,20210104,160000,36.2550000
SNGS,60,20210104,170000,36.2400000
SNGS,60,20210104,180000,36.3900000
SNGS,60,20210104,190000,36.4200000
SNGS,60,20210104,200000,36.2000000
SNGS,60,20210104,210000,36.0900000
SNGS,60,20210104,220000,36.1550000
SNGS,60,20210104,230000,36.1600000
SNGS,60,20210105,000000,36.1100000
SNGS,60,20210105,110000,36.0450000
SNGS,60,20210105,120000,36.2300000
SNGS,60,20210105,130000,36.1950000
SNGS,60,20210105,140000,36.1950000
SNGS,60,20210105,150000,36.1200000
SNGS,60,20210105,160000,36.2350000
SNGS,60,20210105,170000,36.1550000
SNGS,60,20210105,180000,36.4150000
SNGS,60,20210105,190000,36.4700000
SNGS,60,20210105,200000,36.4250000
SNGS,60,20210105,210000,36.4600000
SNGS,60,20210105,220000,36.6100000
SNGS,60,20210105,230000,36.7000000
SNGS,60,20210106,000000,36.7500000
SNGS,60,20210106,110000,36.7750000
SNGS,60,20210106,120000,36.5100000
SNGS,60,20210106,130000,36.6400000
SNGS,60,20210106,140000,36.8300000
SNGS,60,20210106,150000,36.6000000
SNGS,60,20210106,160000,36.5450000
SNGS,60,20210106,170000,36.5450000
SNGS,60,20210106,180000,36.6050000
SNGS,60,20210106,190000,37.0000000
SNGS,60,20210106,200000,36.8800000
SNGS,60,20210106,210000,36.8250000
SNGS,60,20210106,220000,36.9350000
SNGS,60,20210106,230000,36.7850000
SNGS,60,20210107,000000,36.7450000
SNGS,60,20210108,110000,37.2800000
SNGS,60,20210108,120000,37.4200000
SNGS,60,20210108,130000,37.3050000
SNGS,60,20210108,140000,37.4200000
SNGS,60,20210108,150000,37.5000000
SNGS,60,20210108,160000,37.5750000
SNGS,60,20210108,170000,37.7450000
SNGS,60,20210108,180000,37.7350000
SNGS,60,20210108,190000,37.7500000
SNGS,60,20210108,200000,37.6050000
SNGS,60,20210108,210000,37.5800000
SNGS,60,20210108,220000,37.6250000
SNGS,60,20210108,230000,37.6950000
SNGS,60,20210109,000000,37.7050000
SNGS,60,20210111,110000,37.4700000
SNGS,60,20210111,120000,37.9850000
SNGS,60,20210111,130000,37.6200000
SNGS,60,20210111,140000,37.5700000
SNGS,60,20210111,150000,37.6600000
SNGS,60,20210111,160000,37.6400000
SNGS,60,20210111,170000,37.3600000
SNGS,60,20210111,180000,37.4950000
SNGS,60,20210111,190000,37.8500000
SNGS,60,20210111,200000,37.8350000
SNGS,60,20210111,210000,37.8200000
SNGS,60,20210111,220000,37.6550000
SNGS,60,20210111,230000,37.5200000
SNGS,60,20210112,000000,37.6050000
SNGS,60,20210112,110000,37.8750000
SNGS,60,20210112,120000,37.6700000
SNGS,60,20210112,130000,37.6550000
SNGS,60,20210112,140000,37.7300000
SNGS,60,20210112,150000,37.7850000
SNGS,60,20210112,160000,37.7100000
SNGS,60,20210112,170000,37.6100000
SNGS,60,20210112,180000,37.2950000
SNGS,60,20210112,190000,37.6000000
SNGS,60,20210112,200000,37.5750000
SNGS,60,20210112,210000,37.5700000
SNGS,60,20210112,220000,37.5300000
SNGS,60,20210112,230000,37.5900000
SNGS,60,20210113,000000,37.6350000
SNGS,60,20210113,110000,37.6450000
SNGS,60,20210113,120000,37.3500000
SNGS,60,20210113,130000,37.3000000
SNGS,60,20210113,140000,37.1000000
SNGS,60,20210113,150000,37.1700000
SNGS,60,20210113,160000,37.0800000
SNGS,60,20210113,170000,36.9750000
SNGS,60,20210113,180000,37.1550000
SNGS,60,20210113,190000,37.3050000
SNGS,60,20210113,200000,37.2150000
SNGS,60,20210113,210000,37.3000000
SNGS,60,20210113,220000,37.3450000
SNGS,60,20210113,230000,37.2700000
SNGS,60,20210114,000000,37.2850000
SNGS,60,20210114,110000,37.4450000
SNGS,60,20210114,120000,37.4600000
SNGS,60,20210114,130000,37.4550000
SNGS,60,20210114,140000,37.3250000
SNGS,60,20210114,150000,37.1850000
SNGS,60,20210114,160000,37.4300000
SNGS,60,20210114,170000,37.5000000
SNGS,60,20210114,180000,37.6250000
SNGS,60,20210114,190000,37.5050000
SNGS,60,20210114,200000,37.4500000
SNGS,60,20210114,210000,37.5000000
SNGS,60,20210114,220000,37.5800000
SNGS,60,20210114,230000,37.5150000
SNGS,60,20210115,000000,37.5200000
SNGS,60,20210115,110000,37.3650000
SNGS,60,20210115,120000,37.3600000
SNGS,60,20210115,130000,37.3150000
SNGS,60,20210115,140000,37.2250000
SNGS,60,20210115,150000,37.0950000
SNGS,60,20210115,160000,36.9400000
SNGS,60,20210115,170000,36.9350000
SNGS,60,20210115,180000,37.0400000
SNGS,60,20210115,190000,36.6800000
SNGS,60,20210115,200000,36.7300000
SNGS,60,20210115,210000,36.7150000
SNGS,60,20210115,220000,36.7500000
SNGS,60,20210115,230000,36.4700000
SNGS,60,20210116,000000,36.4950000
SNGS,60,20210118,110000,35.9750000
SNGS,60,20210118,120000,36.0750000
SNGS,60,20210118,130000,35.9750000
SNGS,60,20210118,140000,36.1250000
SNGS,60,20210118,150000,36.4750000
