Класс,Возраст,Пол,Выживший
1st,1883.0,female,1
1st,1910.0,female,0
1st,1882.0,male,0
1st,1887.0,female,0
1st,1911.08,male,1
1st,1865.0,male,1
1st,1849.0,female,1
1st,1873.0,male,0
1st,1854.0,female,1
1st,1841.0,male,0
1st,1865.0,male,0
1st,1893.0,female,1
1st,1882.0,female,1
1st,1882.0,male,1
1st,1882.0,male,0
1st,1862.0,female,1
1st,1888.0,male,0
1st,1876.0,male,0
1st,1875.0,male,1
1st,1865.0,female,1
1st,1886.0,male,1
1st,1887.0,male,0
1st,1887.0,male,1
1st,1893.0,female,1
1st,1884.0,male,1
1st,1867.0,male,0
1st,1873.0,male,1
1st,1882.0,female,1
1st,1854.0,female,1
1st,1882.0,male,0
1st,1867.0,female,1
1st,1890.0,female,1
1st,1882.0,male,1
1st,1871.0,male,0
1st,1864.0,male,0
1st,1882.0,male,0
1st,1868.0,female,1
1st,1853.0,female,1
1st,1852.0,female,1
1st,1867.0,male,0
1st,1882.0,male,1
1st,1859.0,female,1
1st,1854.0,female,1
1st,1876.0,male,1
1st,1879.0,male,0
1st,1882.0,male,0
1st,1882.0,male,0
1st,1876.0,male,1
1st,1876.0,female,1
1st,1898.0,female,1
1st,1901.0,male,1
1st,1863.0,male,0
1st,1882.0,female,1
1st,1876.0,male,0
1st,1882.0,female,1
1st,1866.0,male,0
1st,1865.0,female,1
1st,1885.0,male,1
1st,1881.0,female,1
1st,1882.0,female,1
1st,1882.0,male,1
1st,1882.0,female,1
1st,1882.0,male,0
1st,1885.0,male,0
1st,1886.0,female,1
1st,1882.0,male,0
1st,1882.0,male,0
1st,1848.0,female,1
1st,1875.0,male,0
1st,1873.0,female,1
1st,1857.0,female,1
1st,1882.0,male,0
1st,1842.0,male,0
1st,1843.0,female,1
1st,1876.0,female,1
1st,1873.0,male,0
1st,1874.0,female,1
1st,1882.0,male,1
1st,1885.0,male,1
1st,1881.0,male,0
1st,1885.0,female,1
1st,1882.0,female,1
1st,1881.0,male,1
1st,1895.0,female,1
1st,1882.0,male,1
1st,1882.0,female,1
1st,1908.0,male,1
1st,1885.0,female,1
1st,1862.0,male,0
1st,1864.0,female,1
1st,1863.0,male,1
1st,1864.0,female,1
1st,1873.0,male,0
1st,1889.0,female,1
1st,1859.0,female,1
1st,1876.0,female,0
1st,1882.0,female,1
1st,1882.0,male,1
1st,1882.0,male,0
1st,1888.0,female,1
1st,1893.0,male,0
1st,1884.0,female,1
1st,1889.0,female,1
1st,1848.0,male,0
1st,1852.0,female,1
1st,1882.0,male,0
1st,1863.0,male,1
1st,1882.0,female,1
1st,1868.0,male,1
1st,1890.0,female,1
